StateCo,StateAb,DivName,DivId,DivCo,PPName,Status,PremisesName,Address1,Address2,Address3,Locality,AddrStateAb,Postcode,PPId,AdvPremisesName,AdvAddress,AdvLocality,AdvBoothLocation,AdvGateAccess,EntrancesDesc,Lat,Long,CCD,WheelchairAccess,OrdVoteEst,DecVoteEst,NoOrdIssuingOff,NoOfDecIssuingOff
"3","VIC","Macnamara","322","29","Elsternwick North (Macnamara)","Appointment","Caulfield Primary School","724 Glen Huntly Rd","","","CAULFIELD SOUTH","VIC","3162","64358","Primary School","724 Glen Huntly Rd","CAULFIELD SOUTH","","","Entrance to polling place: 2 gates via Poplar St.","-37.8876000","145.0200000","2117830","Assisted","818","0","3","0"
"3","VIC","Macnamara","322","29","Elwood","Appointment","St Columba's Primary School","24 Glen Huntly Rd","","","ELWOOD","VIC","3184","4661","St Columba's Primary","24 Glen Huntly Rd","ELWOOD","School Hall","","Entrance through double gates in Glenhuntly Rd","-37.8823000","144.9820000","2112904","Assisted","1407","322","4","3"
"3","VIC","Macnamara","322","29","Elwood Central","Appointment","Elwood College","101 Glen Huntly Rd","","","ELWOOD","VIC","3184","97439","College","101 Glen Huntly Rd","ELWOOD","","","","-37.8820981","144.9846335","2112934","Assisted","1369","360","4","3"
"3","VIC","Macnamara","322","29","Elwood North","Appointment","Elwood Primary School","cnr Mitford St & Poets Gr","","","ELWOOD","VIC","3184","4662","Primary School","49 Scott St  ","ELWOOD","Junior Learning Centre","","Alternative entries to front of school via Poets Gr and Scott St. Official entr ance is the chain fence to the School Ha ll doors","-37.8818000","144.9880000","2112922","Assisted","1789","368","5","4"
"3","VIC","Macnamara","322","29","Emerald Hill","Appointment","Old School Hall, St Peter & Paul's Church","cnr Montague and Bank Sts","","","SOUTH MELBOURNE","VIC","3207","4663","Old School Hall, St Peter & Paul's Church","cnr Montague St & Bank St  ","SOUTH MELBOURNE","","","Via main entry off Montague St","-37.8359000","144.9540000","2113224","Assisted","2115","365","6","4"
"3","VIC","Macnamara","322","29","Fawkner Park (Macnamara)","Appointment","Tbc","677 Punt Rd","","","SOUTH YARRA","VIC","3141","4655","Tbc","677 Punt Rd","SOUTH YARRA","","","","-37.8391075","144.9861524","2112501","Assisted","1674","396","5","4"
"3","VIC","Macnamara","322","29","Graham","Appointment","Port Melbourne Primary School","415 Graham St","","","PORT MELBOURNE","VIC","3207","4665","Primary School","415 Graham St","PORT MELBOURNE","","","Entry via gates at Graham St & Clark St. No gate access from Walter St.","-37.8348000","144.9350000","2113023","Assisted","1588","394","4","4"
"3","VIC","Macnamara","322","29","Kerferd","Appointment","Middle Park Primary School","194 Richardson St","","","ALBERT PARK","VIC","3206","4669","Middle Park Primary School","194 Richardson St  ","ALBERT PARK","Multi-purpose room","Mills St & Richardson St","Entry via Mills St gate","-37.8477000","144.9580000","2112824","Assisted","2236","250","6","3"
"3","VIC","Macnamara","322","29","Melbourne (Macnamara)","Appointment","215 Spring St","","","","MELBOURNE","VIC","3000","32038","215 Spring St","  ","MELBOURNE","","","","-37.8098387","144.9720566","2112232","Assisted","1006","0","0","0"
"3","VIC","Macnamara","322","29","Middle Park","Appointment","Middle Park Community Centre","254-256 Richardson St","","","MIDDLE PARK","VIC","3206","4670","Middle Park Community Centre","254-256 Richardson St","MIDDLE PARK","","","","-37.8498382","144.9619369","2112813","None","1289","154","4","2"
"3","VIC","Macnamara","322","29","Port Melbourne","Appointment","Womindjeka Family and Children's Centre","85 Liardet St","","","PORT MELBOURNE","VIC","3207","4672","Womindjeka Family and Children's Centre","85 Liardet St  ","PORT MELBOURNE","","","Main entry off Spring St Disabled access from Bay St","-37.8360996","144.9447035","2113009","Assisted","2441","475","7","4"
"3","VIC","Macnamara","322","29","Port Melbourne Beach","Appointment","Albert Park College Environmental Arts Hub","40 Bay St","","","PORT MELBOURNE","VIC","3207","83608","Albert Park College Environmental Arts Hub","40 Bay St  ","PORT MELBOURNE","","Post office place","","-37.8424510","144.9391140","2113016","Assisted","2021","450","6","4"
"3","VIC","Macnamara","322","29","Prahran (Macnamara)","Appointment","Grattan Gardens Community Centre","40 Grattan St","","","PRAHRAN","VIC","3181","92602","Grattan Gardens Community Centre","40 Grattan St","PRAHRAN","","","Entry in Grattan Gardens-off Grattan St","-37.8465320","144.9915150","2113602","Assisted","257","0","1","0"
"3","VIC","Macnamara","322","29","Prahran East (Macnamara)","Appointment","Functions on Chapel","255a Chapel St","","","PRAHRAN","VIC","3181","92603","Functions on Chapel","255A Chapel St","PRAHRAN","","","","-37.8497543","144.9935319","2113601","Assisted","570","0","2","0"
"3","VIC","Macnamara","322","29","Ripponlea East","Appointment","Ripponlea Primary School","25 Carrington Gr","","","ST KILDA EAST","VIC","3183","3879","Ripponlea Primary School","25 Carrington Gr  ","ST KILDA EAST","Multi-purpose facility","","Entrance off Carrington Gr across playground to rear of school building","-37.8747000","145.0050000","2117746","Assisted","1544","185","4","2"
"3","VIC","Macnamara","322","29","Ripponlea North","Appointment","St Kilda Police & Citizens Youth Club","179 Inkerman St","","","ST KILDA","VIC","3182","3880","St Kilda Police & Citizens Youth Club","179 Inkerman St","ST KILDA","","","","-37.8654220","144.9890570","2113336","Assisted","1663","285","5","3"
"3","VIC","Macnamara","322","29","Sandridge","Appointment","Fishermans Bend Community Centre","10 Centre Ave","","","GARDEN CITY","VIC","3207","4686","Fishermans Bend Community Centre","10 Centre Ave  ","GARDEN CITY","","","Entry directly off Centre Ave","-37.8366193","144.9203861","2113014","Assisted","1257","163","4","2"
"3","VIC","Macnamara","322","29","South Melbourne","Appointment","South Melbourne Community Centre","1 Ferrars Pl","","","SOUTH MELBOURNE","VIC","3205","4687","Community Centre","1 Ferrars Pl  ","SOUTH MELBOURNE","","","Entry directly off Ferrars Pl","-37.8368863","144.9578404","2113212","Assisted","2326","529","6","5"
"3","VIC","Macnamara","322","29","Southbank","Appointment","Victorian College of the Arts Secondary School","57 Miles St","","","SOUTHBANK","VIC","3006","36435","Victorian College of the Arts Secondary School","57 Miles St","SOUTHBANK","","","Entrance from Miles St","-37.8282890","144.9649050","2112626","Assisted","2607","519","7","5"
"3","VIC","Macnamara","322","29","St Kilda","Appointment","St Kilda Primary School","2 Brighton Road","","","ST KILDA","VIC","3182","4681","Primary School","2 Brighton Rd  ","ST KILDA","","","Main entrance for ordinary votes off Brighton Rd entrance closest to Dickens St If interstate voting here then enter via entrance north on Brighton Rd","-37.8700000","144.9890000","2113328","Assisted","2051","435","6","4"
"3","VIC","Macnamara","322","29","St Kilda North","Appointment","St Mary's Parish Hall","208 Dandenong Rd","","","ST KILDA EAST","VIC","3183","4683","St Mary's Parish Hall","208 Dandenong Rd","ST KILDA EAST","","","Entrance to hall from driveway off Westbury St","-37.8589000","144.9970000","2113423","Assisted","1445","439","4","4"
"3","VIC","Macnamara","322","29","St Kilda Park","Appointment","St Kilda Park Primary School","68 Fitzroy St","","","ST KILDA","VIC","3182","4684","St Kilda Park Primary School","68 Fitzroy St","ST KILDA","Hall","","Gate from Fitzroy St Car park","-37.8581679","144.9779570","2113319","Assisted","1698","308","5","3"
"3","VIC","Macnamara","322","29","Windsor (Macnamara)","Appointment","Windsor Primary School","12 Hornby St","","","WINDSOR","VIC","3181","4689","Primary School","12 Hornby St","WINDSOR","","","","-37.8572620","144.9958310","2113611","Assisted","833","252","3","3"
"3","VIC","Mallee","224","29","Berriwillock","Abolition","","","","","","","","0","","","","","","","","","0","","0","0","0","0"
"3","VIC","Mallee","224","29","Boundary Bend","Abolition","","","","","","","","0","","","","","","","","","0","","0","0","0","0"
"3","VIC","Mallee","224","29","Brim","Abolition","","","","","","","","0","","","","","","","","","0","","0","0","0","0"
"3","VIC","Mallee","224","29","Concongella","Abolition","","","","","","","","0","","","","","","","","","0","","0","0","0","0"
"3","VIC","Mallee","224","29","Great Western","Abolition","","","","","","","","0","","","","","","","","","0","","0","0","0","0"
"3","VIC","Mallee","224","29","Halls Gap","Abolition","","","","","","","","0","","","","","","","","","0","","0","0","0","0"
"3","VIC","Mallee","224","29","Laharum","Abolition","","","","","","","","0","","","","","","","","","0","","0","0","0","0"
"3","VIC","Mallee","224","29","Lalbert","Abolition","","","","","","","","0","","","","","","","","","0","","0","0","0","0"
"3","VIC","Mallee","224","29","Marnoo","Abolition","","","","","","","","0","","","","","","","","","0","","0","0","0","0"
"3","VIC","Mallee","224","29","Nullawil","Abolition","","","","","","","","0","","","","","","","","","0","","0","0","0","0"
"3","VIC","Mallee","224","29","Patchewollock","Abolition","","","","","","","","0","","","","","","","","","0","","0","0","0","0"
"3","VIC","Mallee","224","29","Speed","Abolition","","","","","","","","0","","","","","","","","","0","","0","0","0","0"
"3","VIC","Mallee","224","29","Stawell","Abolition","","","","","","","","0","","","","","","","","","0","","0","0","0","0"
"3","VIC","Mallee","224","29","Stawell West","Abolition","","","","","","","","0","","","","","","","","","0","","0","0","0","0"
"3","VIC","Mallee","224","29","Sunnycliffs","Abolition","","","","","","","","0","","","","","","","","","0","","0","0","0","0"
"3","VIC","Mallee","224","29","Toolondo","Abolition","","","","","","","","0","","","","","","","","","0","","0","0","0","0"
"3","VIC","Mallee","224","29","Ultima","Abolition","","","","","","","","0","","","","","","","","","0","","0","0","0","0"
"3","VIC","Mallee","224","29","Walpeup","Abolition","","","","","","","","0","","","","","","","","","0","","0","0","0","0"
"3","VIC","Mallee","224","29","Watchem","Abolition","","","","","","","","0","","","","","","","","","0","","0","0","0","0"
"3","VIC","Mallee","224","29","Wemen","Abolition","","","","","","","","0","","","","","","","","","0","","0","0","0","0"
"3","VIC","Mallee","224","30","Apsley","Current","Apsley Hall","62 Wallace St","","","APSLEY","VIC","3319","4934","Community Hall","62 Wallace St","APSLEY","","","Direct entry from Wallace St","-36.9676000","141.0820000","2139306","Assisted","309","22","1","1"
"3","VIC","Mallee","224","30","Avoca","Appointment","Avoca RSL Memorial Hall","157 High St","","","AVOCA","VIC","3467","3125","RSL Memorial Hall","157 High St","AVOCA","","","Main entrance on High St.","-37.0850000","143.4730000","2101301","Assisted","952","116","3","1"
"3","VIC","Mallee","224","30","Bealiba","Appointment","Bealiba Primary School","9 Grant St","","","BEALIBA","VIC","3475","3126","Primary School","9 Grant St  ","BEALIBA","","","Gate on Grant Street.","-36.7897000","143.5520000","2101704","Assisted","160","36","0","1"
"3","VIC","Mallee","224","30","Beulah","Current","Beulah Memorial Hall","74 Phillips St","","","BEULAH","VIC","3395","4452","Memorial Hall","74 Phillips St  ","BEULAH","","","Enter Main Hall from Phillips St","-35.9389000","142.4210000","2139418","Assisted","203","10","1","1"
"3","VIC","Mallee","224","30","Beverford","Current","Beverford District Primary School","20 School Rd","","","BEVERFORD","VIC","3590","4453","District Primary School","20 School Rd","BEVERFORD","","","School Gate entrance from School Rd","-35.2327000","143.4790000","2140520","Assisted","211","10","1","1"
"3","VIC","Mallee","224","30","Birchip","Current","Birchip Public Hall","81 Cumming Ave","","","BIRCHIP","VIC","3483","4454","Public Hall","81 Cumming Ave","BIRCHIP","","","Entrance from Cumming Ave","-35.9839000","142.9170000","2140018","Assisted","580","27","2","1"
"3","VIC","Mallee","224","30","Boort","Appointment","Boort Resource & Information Centre (BRIC)","119-121 Godfrey St","","","BOORT","VIC","3537","4726","Resource & Information Centre","119-121 Godfrey St  ","BOORT","","","Access via main entrance off Godfrey St. Disable access at rear of building.","-36.1164560","143.7264055","2103315","Assisted","605","88","2","1"
"3","VIC","Mallee","224","30","Bowenvale","Appointment","Timor Primary School","395 Bet Bet Creek Rd","","","TIMOR","VIC","3465","3136","Primary School","395 Bet Bet Creek Rd","TIMOR","","","Door to Multi Purpose Room at rear of school","-36.9843262","143.7119957","2101714","Assisted","444","21","2","1"
